gen,K1,K2,K3,K4,K5,K6,T1,T2,T3,T4,T5,T6
GEN0067,110,236,99,201,266,406,144,207,275,487,370,202
GEN0068,228,310,321,896,403,1007,962,829,828,1431,1909,909
GEN0069,1,1,0,3,1,3,0,4,0,1,4,4
GEN0070,41,30,35,21,29,61,50,35,30,28,60,59
GEN0071,100,103,81,155,130,283,163,122,80,175,153,99
GEN0072,23,26,32,42,26,42,27,28,24,63,40,27
GEN0073,1008,1034,653,965,726,1289,1134,943,681,1593,1474,982
GEN0074,13,6,7,11,12,14,7,10,14,11,14,15
GEN0075,114,47,103,89,118,271,249,62,126,167,238,140
GEN0076,9,10,14,15,17,12,19,12,20,22,27,10
GEN0077,643,517,399,543,698,1052,1248,676,1059,1280,1001,736
GEN0078,68,63,53,80,56,120,90,53,63,130,115,85
GEN0079,28,39,32,30,38,38,63,19,40,63,46,33
GEN0080,1,1,6,7,2,7,14,18,11,12,14,23
GEN0081,1055,1030,827,1243,1644,1994,2110,794,464,2106,2925,1202
GEN0082,282,164,195,225,144,272,579,166,144,359,228,295
GEN0083,131,246,171,323,171,232,258,158,188,471,427,159
GEN0084,635,602,252,233,376,878,465,241,155,647,644,569
GEN0085,110,93,132,118,159,187,58,44,51,101,70,62
GEN0086,7,19,12,19,13,52,5,3,4,24,13,11
GEN0087,24,17,9,21,11,34,29,18,21,51,38,15
GEN0088,14,26,29,17,14,31,27,19,12,19,26,16
GEN0089,560,635,557,386,650,869,896,427,432,1850,1195,338
GEN0090,3,3,1,4,7,18,15,8,0,9,10,5
GEN0091,16,28,23,29,17,42,28,31,35,40,26,14
GEN0092,37,23,47,54,26,83,77,15,56,51,62,45
GEN0093,110,96,58,97,117,147,33,22,38,33,42,32
GEN0094,88,167,108,200,120,283,246,166,133,464,253,299
GEN0095,13,9,8,16,8,3,21,10,14,16,10,11
GEN0096,1,6,2,1,3,9,6,4,4,9,5,9
GEN0097,65,61,94,84,53,54,64,67,47,72,86,87
GEN0098,232,403,453,495,633,868,515,427,776,719,971,819
GEN0099,266,160,122,184,308,377,93,45,24,127,73,85
GEN0100,151,57,130,63,76,192,146,92,98,133,186,149
GEN0101,48,31,26,73,60,45,5,4,1,10,18,9
GEN0102,77,104,126,106,101,108,202,94,144,137,182,145
GEN0103,30,25,39,54,45,74,11,8,10,15,20,17
GEN0104,231,294,253,163,211,285,230,165,299,627,270,216
GEN0105,19,16,20,24,22,47,28,22,36,25,14,11
GEN0106,55,61,46,115,24,205,78,94,113,172,115,104
GEN0107,78,38,61,58,62,65,28,46,82,94,74,38
GEN0108,104,120,87,154,148,410,149,133,129,300,216,155
GEN0109,40,84,89,90,71,101,15,32,28,26,36,20
GEN0110,3269,3733,3798,3831,3552,7102,5691,3711,5694,8981,5980,5406
GEN0111,645,425,687,801,906,1583,869,591,739,1234,693,1295
GEN0112,368,871,594,840,606,1217,1824,562,691,1333,1582,1055
GEN0113,3,2,0,1,2,2,1,2,3,5,0,0
GEN0114,36,32,43,29,38,89,26,40,32,50,75,59
GEN0115,20,24,20,17,21,55,39,24,25,57,34,25
GEN0116,154,148,177,168,85,258,307,121,176,212,260,244
GEN0117,0,1,1,0,3,6,4,2,2,3,4,1
GEN0118,639,367,419,333,593,827,518,297,222,604,407,315
GEN0119,357,211,612,268,406,1022,637,495,329,627,677,498
GEN0120,11,9,16,12,8,12,12,7,6,12,11,8
GEN0121,13,7,10,16,16,20,23,9,6,27,16,24
GEN0122,21,16,21,20,15,36,28,21,11,39,23,25
GEN0123,64,79,61,50,74,121,90,65,99,161,142,103
GEN0124,212,210,108,165,133,296,270,145,188,319,168,252
GEN0125,1544,2131,1423,1742,1472,2685,2569,718,2164,2310,2183,2286
GEN0126,36,39,40,46,41,62,66,42,27,75,70,51
GEN0127,262,213,161,138,309,544,302,172,212,409,283,229
GEN0128,103,140,31,108,54,145,147,43,61,143,147,121
GEN0129,994,962,1081,1258,1600,1129,2438,2759,3149,4228,3809,2370
GEN0130,234,123,133,191,126,334,3015,1750,1842,3055,2906,1673
GEN0131,857,339,811,293,482,854,786,323,601,513,737,1047
GEN0132,7,13,13,9,11,30,12,5,8,12,21,27
GEN0133,18,40,42,66,50,100,49,29,28,78,77,51
GEN0134,12,15,22,8,33,51,35,7,14,24,30,25
GEN0135,351,801,794,855,710,1140,1020,878,997,1557,715,878
GEN0136,189,136,193,203,208,450,222,191,199,449,203,188
GEN0137,36,31,51,43,30,55,44,26,17,91,85,38
GEN0138,45,39,27,38,27,59,219,216,145,460,595,310
GEN0139,90,175,235,238,116,291,192,97,104,206,312,175
GEN0140,22,12,32,20,15,60,14,17,23,51,37,25
GEN0141,9,11,10,9,11,18,20,21,7,27,23,20
GEN0142,106,105,120,82,170,195,158,122,148,257,226,175
GEN0143,1783,2119,2322,2879,2608,6110,11327,6112,13886,16127,14071,9462
GEN0144,45,39,44,78,53,91,63,42,52,108,27,76
GEN0145,24,25,18,30,19,68,23,11,30,72,53,31
GEN0146,16,16,11,8,9,11,6,2,15,16,21,8
GEN0147,5,7,4,7,5,20,11,8,5,14,13,6
GEN0148,99,161,190,207,177,115,484,136,249,278,183,176
GEN0149,148,196,214,256,238,303,389,175,315,290,213,254
GEN0150,74,55,41,66,43,93,78,77,76,93,142,42
GEN0151,58,68,60,99,116,177,206,32,96,220,208,134
GEN0152,56,41,81,83,64,119,112,116,73,125,103,77
GEN0153,110,137,97,80,156,113,124,82,68,112,102,80
GEN0154,6,5,7,5,6,13,10,2,2,4,6,12
GEN0155,43,13,28,43,18,40,39,21,31,50,57,34
GEN0156,41,97,51,58,88,66,183,66,88,143,108,84
GEN0157,25,21,28,21,25,35,29,15,20,33,20,27
GEN0158,33,43,22,38,41,43,38,26,32,88,37,30
GEN0159,10,14,13,19,19,33,35,31,28,29,30,29
GEN0160,36,18,38,25,35,74,66,38,28,27,61,40
GEN0161,212,379,299,292,382,372,329,187,192,306,541,271
GEN0162,51,14,27,51,33,45,69,21,39,67,99,64
GEN0163,48,35,47,51,89,99,115,24,36,68,77,50
GEN0164,292,167,162,188,256,423,391,140,234,323,479,370
GEN0165,140,251,212,146,232,247,212,286,234,457,268,153
GEN0166,810,923,485,741,967,1715,977,484,1355,1594,2055,1352
GEN0167,3,0,5,3,4,5,7,1,8,8,4,4
GEN0168,277,259,256,253,278,576,543,197,286,547,426,235
GEN0169,37,28,33,26,31,102,35,26,30,80,43,37
GEN0170,133,94,61,94,115,101,92,68,78,110,154,110
GEN0171,280,199,171,276,292,433,381,130,169,453,306,304
GEN0172,285,520,387,376,311,509,353,336,438,556,610,650
GEN0173,430,569,289,328,162,386,579,369,477,514,434,284
GEN0174,76,102,51,49,109,161,71,73,84,95,190,90
GEN0175,845,844,535,700,879,983,1377,998,607,1978,1746,1139
GEN0176,38,75,23,50,58,68,52,40,38,83,51,45
GEN0177,48,55,47,104,60,102,117,45,45,116,59,68
GEN0178,143,237,156,169,324,384,398,128,276,432,418,313
GEN0179,29,34,17,32,17,52,23,23,22,70,57,19
GEN0180,1557,2780,2541,1924,1528,3453,4225,2391,3280,3448,2541,3648
GEN0181,503,265,246,231,427,311,430,320,416,713,827,227
GEN0182,1695,1233,2493,1952,2314,4588,22016,8673,8090,18588,21833,13599
GEN0183,44,104,48,38,120,146,106,38,45,162,117,66
GEN0184,26,27,54,57,49,108,23,13,20,17,25,11
GEN0185,98,117,59,54,86,328,99,61,70,153,138,122
GEN0186,148,265,254,255,159,460,276,220,107,269,231,258
GEN0187,14,16,16,19,42,15,37,26,19,64,45,43
GEN0188,123,112,73,102,100,234,114,69,135,158,199,130
GEN0189,73,49,69,39,87,78,85,55,44,109,117,47
GEN0190,505,945,522,1010,1346,1544,874,717,1099,2343,1105,858
GEN0191,13,18,14,21,20,55,42,10,20,34,41,32
GEN0192,361,449,297,239,387,603,303,327,303,550,639,626
GEN0193,19,21,20,6,11,46,29,37,7,40,38,31
GEN0194,15,7,12,8,18,48,10,9,8,37,27,19
GEN0195,33,17,30,14,34,51,50,16,15,32,52,7
GEN0196,9,14,9,10,4,25,23,9,17,15,20,10
GEN0197,49,103,31,62,49,148,90,89,91,168,123,98
GEN0198,359,266,245,474,386,1112,193,382,345,475,348,505
GEN0199,78,54,65,142,81,194,105,70,60,139,102,140
GEN0200,153,141,143,149,106,322,198,197,168,527,393,221
GEN0201,870,562,519,1020,1108,1634,1363,1172,1004,1977,1535,1039
GEN0202,49,102,84,104,104,184,111,74,107,244,144,162
GEN0203,61,71,39,131,107,132,37,28,25,50,36,40
GEN0204,24,42,39,35,43,109,78,45,27,123,53,39
GEN0205,8,3,3,6,2,10,9,2,3,13,11,3
GEN0206,221,337,206,248,248,433,250,130,195,367,374,354
GEN0207,3,4,0,8,2,7,7,3,1,7,6,5
GEN0208,150,203,270,309,180,538,163,122,138,231,398,271
GEN0209,72,70,62,40,76,142,154,71,62,143,90,138
GEN0210,390,268,516,303,254,741,540,226,360,848,816,313
GEN0211,53,92,73,53,58,100,131,26,76,84,75,57
GEN0212,18,19,16,12,13,29,18,11,24,19,37,35
GEN0213,96,143,88,166,77,231,113,112,114,128,193,147
GEN0214,23,43,31,38,19,38,56,21,40,45,34,50
GEN0215,57,20,69,66,34,74,87,40,47,63,81,47
GEN0216,56,44,67,61,92,86,112,44,77,139,124,170
GEN0217,46,37,53,43,77,105,66,34,34,110,108,69
GEN0218,43,51,59,43,29,57,95,31,104,166,46,53
GEN0219,16,15,12,17,16,13,35,23,11,28,21,11
GEN0220,48,56,66,80,36,67,80,33,34,69,105,88
GEN0221,0,1,2,0,4,3,7,3,3,4,4,4
GEN0222,34,31,24,46,51,88,118,36,55,150,66,34
GEN0223,14,9,12,15,5,31,22,11,12,13,16,19
GEN0224,224,269,372,415,330,966,526,362,450,961,607,423
GEN0225,627,492,283,685,752,1187,1073,554,748,623,1306,457
GEN0226,1,0,3,1,1,5,6,3,1,5,6,4
GEN0227,70,52,82,65,119,103,137,75,68,114,58,119
GEN0228,79,28,52,52,33,64,52,52,38,75,77,45
GEN0229,5,7,14,18,18,13,16,11,5,22,38,6
GEN0230,200,215,161,191,110,239,228,214,99,192,119,135
GEN0231,34,25,14,50,21,80,52,31,16,80,62,36
GEN0232,9,6,7,6,6,8,4,8,6,9,7,6
GEN0233,21,31,25,45,32,69,48,22,90,104,55,69
GEN0234,48,53,32,54,44,80,87,49,59,91,36,35
GEN0235,90,58,56,52,81,162,142,71,92,136,111,100
GEN0236,4,5,16,3,11,11,8,7,10,11,10,14
GEN0237,132,114,162,207,164,225,261,124,136,265,336,181
GEN0238,138,235,211,307,200,600,221,232,260,541,408,336
GEN0239,7,13,16,6,9,20,8,9,9,28,29,12
GEN0240,33,40,20,25,28,29,55,8,14,48,33,22
GEN0241,51,57,43,50,56,96,69,63,87,129,58,117
GEN0242,22,27,7,14,16,26,52,20,37,42,65,35
GEN0243,798,674,770,1478,1596,1637,1615,729,907,1718,1710,1029
GEN0244,80,87,135,74,132,130,228,80,96,138,106,102
GEN0245,9,7,7,10,16,25,10,10,21,42,27,19
GEN0246,18,24,12,35,14,31,21,22,17,37,14,29
GEN0247,68,74,26,113,51,96,92,38,44,125,68,130
GEN0248,1993,2554,1807,3190,1991,5918,2083,1638,3345,3640,4189,3154
GEN0249,25,49,43,49,55,70,69,31,50,80,104,50
GEN0250,38,75,61,116,89,125,160,54,66,177,110,143
GEN0251,136,143,121,141,210,478,152,105,139,346,158,376
GEN0252,24,30,61,83,69,104,73,43,46,103,63,52
GEN0253,1474,2607,2729,2483,3198,6970,1993,1995,2915,5856,3669,2749
GEN0254,33,19,19,23,26,64,48,22,31,48,29,47
GEN0255,354,155,176,316,254,278,1172,904,745,1264,1675,1931
GEN0256,30,81,105,82,103,162,1126,280,947,1118,852,865
GEN0257,111,154,139,148,188,182,194,190,239,321,405,183
GEN0258,6,7,7,8,14,24,8,20,15,18,20,17
GEN0259,878,1200,598,995,1457,2874,1722,863,1178,1506,1159,1898
GEN0260,64,60,47,62,41,86,90,32,37,96,96,73
GEN0261,43,79,56,63,91,192,95,72,105,77,114,119
GEN0262,5,11,10,13,9,19,4,3,4,8,8,6
GEN0263,13,17,15,29,33,38,34,10,25,36,31,42
GEN0264,126,86,214,263,339,224,186,181,241,225,200,171
GEN0265,277,187,166,507,250,553,297,286,223,573,401,335
GEN0266,155,195,193,215,175,401,307,159,299,367,304,357
GEN0267,568,585,495,333,459,721,399,308,657,687,582,682
GEN0268,185,146,170,252,131,387,991,634,1197,1914,2962,1944
GEN0269,62,43,101,72,55,119,81,89,68,152,99,61
GEN0270,287,270,288,385,220,456,307,229,218,499,349,320
GEN0271,145,144,200,184,111,389,244,195,217,331,185,187
GEN0272,31,65,54,34,70,109,159,57,74,127,75,41
GEN0273,158,83,224,164,311,640,353,136,216,376,347,193
GEN0274,493,531,362,714,608,686,632,193,443,921,643,710
GEN0275,120,73,107,79,100,180,736,786,662,1321,1063,1023
GEN0276,32,34,48,22,41,66,57,29,42,68,84,37
GEN0277,137,280,271,148,238,292,310,174,96,383,328,219
GEN0278,778,1096,1575,2170,1626,1866,1753,2319,2030,3408,2967,1657
GEN0279,48,45,53,29,33,93,53,69,31,104,120,43
GEN0280,51,63,58,28,72,91,47,62,35,63,181,105
GEN0281,10,32,32,52,51,74,73,40,41,55,81,61
GEN0282,557,462,403,462,416,911,656,614,400,836,639,335
GEN0283,6,6,5,2,5,9,4,5,2,3,2,3
GEN0284,214,103,129,92,113,195,135,120,140,228,210,129
GEN0285,629,446,134,291,330,1042,627,217,413,669,616,235
GEN0286,15,23,19,22,18,39,36,21,21,18,26,5
GEN0287,555,462,369,1107,857,1231,1056,847,549,1479,1343,578
GEN0288,178,94,151,140,65,192,239,137,110,379,368,144
GEN0289,16,18,28,27,21,53,57,44,28,57,20,31
GEN0290,54,43,116,105,169,149,163,46,77,112,174,129
GEN0291,5,4,6,5,9,9,10,2,7,12,9,11
GEN0292,17,17,30,7,20,37,33,18,42,82,51,38
GEN0293,1351,967,728,1484,1044,2653,1114,676,1377,2982,1861,1093
GEN0294,19,9,17,19,11,36,12,13,27,15,22,12
GEN0295,1972,1019,1034,1076,939,3009,2242,944,1088,3316,2652,815
GEN0296,56,37,28,55,55,82,78,42,50,161,99,52
GEN0297,257,184,271,337,306,391,846,171,339,396,437,411
GEN0298,44,41,56,36,35,122,77,55,95,185,103,87
GEN0299,0,2,2,1,2,1,3,2,3,1,4,2
GEN0300,26,25,37,24,33,58,40,18,28,74,29,26
GEN0301,69,94,89,127,100,91,411,169,361,591,405,296
GEN0302,12,13,3,6,9,10,15,10,12,27,18,9
GEN0303,9,9,7,8,7,15,12,15,6,5,15,17
GEN0304,166,122,82,56,130,272,28,35,38,65,90,50
GEN0305,21,31,42,35,39,50,23,23,26,60,31,23
GEN0306,6,4,3,5,3,12,11,19,23,14,37,26
GEN0307,11,24,22,26,28,48,36,24,16,45,30,20
GEN0308,251,293,323,296,272,458,525,257,363,587,470,269
GEN0309,24,15,34,24,38,59,51,21,41,58,63,48
GEN0310,329,319,380,318,227,368,320,239,200,746,318,338
GEN0311,686,521,459,830,458,1145,4506,2416,4936,6422,7015,3420
GEN0312,85,58,48,69,75,103,474,385,277,569,528,341
GEN0313,8,20,9,12,9,31,11,4,8,17,26,14
GEN0314,9,8,10,14,4,19,5,3,8,12,4,7
GEN0315,42,47,65,62,56,149,121,68,78,87,102,79
GEN0316,232,164,229,220,342,494,523,176,212,520,335,431
GEN0317,53,97,53,154,166,149,173,72,93,150,125,155
GEN0318,214,89,134,130,89,255,166,118,144,163,378,178
GEN0319,18,13,25,20,9,61,72,26,26,67,96,26
GEN0320,125,82,97,109,120,322,127,155,121,193,154,128
GEN0321,16,25,12,43,20,21,65,17,51,71,66,54
GEN0322,25,28,16,25,59,91,40,30,54,74,67,59
GEN0323,9,7,9,11,12,22,17,13,5,10,21,9
GEN0324,9,5,4,4,9,3,7,3,5,13,4,6
GEN0325,20,35,30,27,43,67,62,28,26,42,58,23
GEN0326,11,3,5,19,8,34,26,5,22,21,11,18
GEN0327,11,11,20,19,22,26,21,15,22,38,19,16
GEN0328,103,166,205,118,174,334,193,180,151,547,313,137
GEN0329,60,67,38,69,53,76,54,43,51,64,48,73
GEN0330,7893,5744,2306,6226,4601,13573,7788,8760,8727,10144,10281,8272
GEN0331,258,420,308,161,261,709,515,334,408,834,621,504
GEN0332,24,19,21,30,17,56,25,20,28,36,40,41
GEN0333,268,177,179,162,177,394,262,187,119,324,443,303
GEN0334,138,85,81,152,87,233,236,110,72,219,233,113
GEN0335,25,13,17,24,25,33,34,20,21,47,21,28
GEN0336,330,329,292,519,269,885,737,353,174,535,512,463
GEN0337,12,16,23,17,13,33,22,28,20,38,26,44
GEN0338,0,1,0,2,1,0,0,0,0,0,0,1
GEN0339,185,215,170,222,100,583,549,223,201,389,400,224
GEN0340,22,19,17,30,24,38,41,16,51,36,23,40
GEN0341,726,747,658,990,730,1450,604,337,573,1526,1807,874
GEN0342,15,11,12,21,21,37,34,25,35,43,54,18
GEN0343,6,8,7,7,13,16,15,8,11,17,12,15
GEN0344,702,583,514,941,557,826,1359,637,416,1883,984,643
GEN0345,11,12,4,20,9,25,15,14,7,24,10,16
GEN0346,108,78,80,114,84,191,116,78,90,190,182,126
GEN0347,782,490,559,812,615,1156,917,756,979,1610,1515,1168
GEN0348,76,47,84,95,77,167,310,128,201,273,427,203
GEN0349,98,58,27,77,34,171,72,56,51,128,186,47
GEN0350,72,93,50,82,73,200,126,54,69,95,104,92
GEN0351,153,164,186,460,253,581,441,132,233,376,432,243
GEN0352,21,12,13,11,19,18,24,17,25,26,38,18
GEN0353,150,162,100,257,130,329,313,178,89,533,398,132
GEN0354,152,128,200,206,241,280,253,144,256,376,276,239
GEN0355,4448,3102,1669,3688,1849,5296,6835,3617,2458,3079,6283,3749
GEN0356,18,46,23,37,35,132,53,34,38,86,38,29
GEN0357,19,18,9,23,5,16,30,10,10,20,16,16
GEN0358,182,123,250,284,286,274,347,261,326,316,280,268
GEN0359,57,42,37,19,28,45,37,24,54,37,61,28
GEN0360,70,91,110,79,54,124,170,111,119,371,166,123
GEN0361,85,111,45,49,91,160,113,115,101,141,118,54
GEN0362,319,340,412,594,528,1049,604,445,545,439,471,532
GEN0363,13,17,14,25,29,55,18,25,23,32,50,19
GEN0364,91,50,59,93,66,106,105,62,52,99,127,84
GEN0365,1,2,0,0,2,2,3,2,0,2,1,0
GEN0366,17,22,18,19,17,22,20,8,25,31,17,23
GEN0367,638,920,535,1132,830,1917,1262,671,803,1409,1019,749
GEN0368,16,21,22,21,30,42,34,16,31,26,48,13
GEN0369,13,31,22,22,12,74,41,14,35,39,52,33
GEN0370,13,12,8,22,4,20,4,5,5,28,22,3
GEN0371,76,145,92,121,128,260,81,34,25,93,43,38
GEN0372,87,103,67,70,74,185,102,79,93,135,144,87
GEN0373,8,13,3,18,18,25,32,11,4,15,15,14
GEN0374,261,161,155,147,189,530,180,152,241,355,370,325
GEN0375,99,92,61,109,72,157,128,107,82,196,134,133
GEN0376,220,173,251,318,267,333,347,145,302,461,409,268
GEN0377,14,21,21,22,34,67,35,22,14,44,34,31
GEN0378,937,914,1507,873,1250,678,1914,1336,1490,2593,2694,1502
GEN0379,86,123,110,169,145,199,208,107,99,200,254,159
GEN0380,57,36,38,60,82,85,55,80,73,105,79,26
GEN0381,29,26,16,26,16,71,43,19,43,23,56,40
GEN0382,42,41,50,62,77,54,64,32,72,46,44,35
GEN0383,212,294,108,263,241,446,382,214,207,518,528,229
GEN0384,59,41,40,66,34,69,92,45,47,75,53,52
GEN0385,232,340,305,471,306,666,782,202,298,840,557,540
GEN0386,100,167,135,123,167,554,204,103,207,344,252,154
GEN0387,541,511,417,913,869,1089,695,401,525,800,578,364
GEN0388,187,262,279,201,253,658,530,340,346,302,262,250
GEN0389,34,98,46,44,53,127,87,58,59,76,77,74
GEN0390,2,2,3,2,1,8,16,13,23,37,55,29
GEN0391,92,132,104,113,97,85,178,108,96,203,195,64
GEN0392,214,192,229,281,271,294,99,91,85,135,168,56
GEN0393,54,81,58,40,86,106,74,57,88,225,191,59
GEN0394,136,196,141,237,134,203,263,110,150,216,303,290
GEN0395,39,32,25,32,31,85,35,28,32,40,40,14
GEN0396,48,42,46,41,31,64,90,42,18,61,49,39
GEN0397,8,11,13,17,6,49,27,22,16,34,18,8
GEN0398,406,661,388,671,577,1136,882,415,614,859,615,717
GEN0399,39,93,52,81,63,106,85,73,131,174,122,132
GEN0400,27,17,27,14,27,52,19,19,35,85,57,43
GEN0401,11,11,6,10,7,12,11,5,4,8,11,9
GEN0402,58,38,46,77,47,101,66,87,80,61,66,83
GEN0403,540,391,319,780,428,1130,985,660,326,1117,1058,632
GEN0404,160,89,199,156,141,187,361,120,149,419,184,160
GEN0405,18,12,13,18,12,55,24,12,21,74,54,21
GEN0406,913,540,436,364,779,1049,811,841,490,1062,723,804
GEN0407,509,930,550,542,617,1445,1353,407,603,1244,1800,598
GEN0408,324,242,407,299,159,823,1336,909,1098,1514,1567,1578
GEN0409,203,351,140,211,266,380,252,170,191,361,450,238
GEN0410,303,323,296,438,391,665,556,300,422,640,640,457
GEN0411,171,143,132,207,195,372,242,166,123,324,241,191
GEN0412,312,154,279,382,147,372,606,158,242,489,242,238
GEN0413,21,12,9,13,32,31,49,14,9,46,20,25
GEN0414,395,953,791,1226,403,1490,934,698,559,1476,1418,983
GEN0415,169,102,92,116,82,298,182,95,127,183,98,74
GEN0416,1444,1901,1553,2384,2457,4432,1781,1526,2704,3583,2109,1642
GEN0417,1,1,3,4,1,1,5,1,4,4,7,3
GEN0418,225,163,197,89,205,208,211,165,161,394,439,296
GEN0419,331,338,198,337,283,787,592,200,431,380,383,483
GEN0420,45,42,49,60,25,61,15,59,33,68,55,34
GEN0421,93,116,204,99,137,295,650,268,435,980,291,933
GEN0422,147,236,119,215,248,358,260,93,248,402,352,216
GEN0423,108,145,210,130,166,315,235,176,265,262,197,114
GEN0424,17,35,42,34,34,55,22,13,30,31,33,35
GEN0425,33,81,38,68,34,87,52,54,74,74,94,40
GEN0426,432,172,360,382,385,777,259,303,389,624,398,541
GEN0427,601,624,322,299,630,1132,517,357,592,990,761,567
GEN0428,89,48,104,78,99,199,141,64,94,176,157,49
GEN0429,49,52,34,180,88,159,91,52,87,108,119,84
GEN0430,86,64,56,95,65,264,156,103,67,135,132,111
GEN0431,402,273,335,400,323,542,464,401,240,526,436,395
GEN0432,14,6,3,17,9,18,35,24,6,17,27,18
GEN0433,4,5,10,4,4,17,12,7,7,10,11,6
GEN0434,65,101,108,52,112,146,112,104,67,267,74,115
GEN0435,13,14,20,7,16,14,25,13,8,18,12,14
GEN0436,35,22,9,16,43,56,35,33,51,36,72,28
GEN0437,63,27,60,69,57,164,76,84,60,98,98,89
GEN0438,125,114,95,140,281,209,279,74,168,296,182,120
GEN0439,12,16,10,21,13,17,14,8,13,21,14,16
GEN0440,126,173,85,126,151,220,392,171,204,311,381,307
GEN0441,4,3,3,3,1,5,4,3,2,3,9,6
GEN0442,152,120,150,164,163,324,272,190,214,243,171,195
GEN0443,2,5,10,7,4,7,19,3,3,9,6,1
GEN0444,10,7,3,7,7,22,147,48,107,106,85,138
GEN0445,147,181,151,119,241,469,384,196,184,197,240,144
GEN0446,38,32,38,34,26,72,20,33,32,58,59,59
GEN0447,23,20,9,14,17,41,39,8,17,18,34,32
GEN0448,33,45,27,18,28,85,35,17,18,80,65,41
GEN0449,149,162,130,190,55,182,225,102,166,228,161,177
GEN0450,49,60,34,55,80,106,97,52,136,82,58,75
GEN0451,49,48,57,37,42,172,67,55,53,90,84,81
GEN0452,373,376,224,325,256,709,504,271,302,709,882,255
